longitude,latitude,source,countryCode,basisOfRecord
-76.1836111,3.97525,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),,HumanObservation
-74.06236,11.29248,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),,MachineObservation
-74.85036,5.58335,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),,MachineObservation
-76.1464989,3.60937122,WCS Colombia,CO,HumanObservation
-76.1464989,3.60937122,WCS Colombia,CO,HumanObservation
-78.41777778,0.11527778,LD,,preservedspecimen
-76.1063611111111,4.72566666666667,FNC,,HumanObservation
-76.1063611111111,4.72566666666667,FNC,,HumanObservation
-76.1063611111111,4.72566666666667,FNC,,HumanObservation
-76.1112777777778,4.77652777777778,FNC,,HumanObservation
-76.1112777777778,4.77652777777778,FNC,,HumanObservation
-76.1112777777778,4.77652777777778,FNC,,HumanObservation
-76.1112777777778,4.77652777777778,FNC,,HumanObservation
-76.1112777777778,4.77652777777778,FNC,,HumanObservation
-76.1112777777778,4.77652777777778,FNC,,HumanObservation
-75.7394166666667,4.611,FNC,,HumanObservation
-77.1488333333333,1.59108333333333,FNC,,HumanObservation
-77.1485833333333,1.59102777777778,FNC,,HumanObservation
-77.1485833333333,1.59102777777778,FNC,,HumanObservation
-77.1485833333333,1.59102777777778,FNC,,HumanObservation
-77.1485833333333,1.59102777777778,FNC,,HumanObservation
-77.1484444444445,1.59111111111111,FNC,,HumanObservation
-77.1484444444445,1.59111111111111,FNC,,HumanObservation
-77.1484444444445,1.59111111111111,FNC,,HumanObservation
-77.1113611111111,1.56616666666667,FNC,,HumanObservation
-77.1113611111111,1.56616666666667,FNC,,HumanObservation
-77.1113611111111,1.56616666666667,FNC,,HumanObservation
-77.1113611111111,1.56616666666667,FNC,,HumanObservation
-77.1113333333333,1.56633333333333,FNC,,HumanObservation
-77.1113611111111,1.56666666666667,FNC,,HumanObservation
-77.1113611111111,1.56666666666667,FNC,,HumanObservation
-77.1113611111111,1.56666666666667,FNC,,HumanObservation
-77.1113611111111,1.56666666666667,FNC,,HumanObservation
-77.1302777777778,1.47472222222222,FNC,,HumanObservation
-77.1284444444444,1.47791666666667,FNC,,HumanObservation
-77.12875,1.47775,FNC,,HumanObservation
-74.78388889,2.608333333,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-75.65125,1.606388889,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-75.70638889,1.533055556,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-67.56777778,2.724166667,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-73.757,3.560805556,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-73.757,3.560805556,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-73.91666667,3.283333333,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-73.92425833,3.286366667,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-72.7585,2.33628,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-72.7585,2.33628,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-73.76806,2.25444,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-75.76522,1.47847,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-75.6972,1.63236,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-76.64694,1.19361,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-70.19333,1.21542,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-72.73333,2.43332,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-74.09778,3.59389,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-72.45444,2.68667,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-74.1674,2.6857,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-72.69167,2.47222,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-74.1674,2.6857,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-73.79404,4.07392,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-72.5,5.33333,Instituto Amazónico de Investigaciones Científicas - SINCHI,CO,PreservedSpecimen
-75.7417166666667,4.63248333333333,FNC,,HumanObservation
-75.6788888888889,4.655,FNC,,HumanObservation
-75.6791666666667,4.65444444444444,FNC,,HumanObservation
-75.77925,4.6135,FNC,,HumanObservation
-75.77978333333333,4.602033333333333,FNC,,HumanObservation
-75.78238333333333,4.604833333333334,FNC,,HumanObservation
-75.77883333333334,4.60205,FNC,,HumanObservation
-70.16301456,18.92094237,iNaturalist,DO,HumanObservation
-71.66351055,19.36804775,iNaturalist,DO,HumanObservation
-66.0422445,18.3993033333,iNaturalist,PR,HumanObservation
-70.93234711,19.23840015,iNaturalist,DO,HumanObservation
-48.825384,-26.250774,CAJ,BR,HumanObservation
-74.21,-4.61,Unknown,,PreservedSpecimen
-76.5193398669,7.7564588454,iNaturalist,CO,HumanObservation
103.756118305,1.4227837403,iNaturalist,SG,HumanObservation
103.7774277778,1.3431638889,iNaturalist,SG,HumanObservation
101.6846313,3.1546995997,iNaturalist,MY,HumanObservation
122.0581762,11.3271777,iNaturalist,PH,HumanObservation
-56.0903823376,-9.8985902932,iNaturalist,BR,HumanObservation
-66.1291972222,18.2352833333,iNaturalist,PR,HumanObservation
103.7816573667,1.325393,iNaturalist,SG,HumanObservation
-83.2166666667,8.6833333333,MU,CR,PreservedSpecimen
-78.9166666667,-0.3,MU,EC,PreservedSpecimen
-83.5255555556,8.5736111111,MU,CR,PreservedSpecimen
-64.8555555556,-23.715,MU,AR,PreservedSpecimen
-78.2551944444,-1.407,MU,EC,PreservedSpecimen
-66.68361,18.31696,MU,US,PreservedSpecimen
-70.3341388889,19.5043333333,MU,DO,PreservedSpecimen
-71.0833333333,18.0666666667,MU,DO,PreservedSpecimen
-84.0,10.4166666667,MU,CR,PreservedSpecimen
-88.6591333333,17.1099,MU,BZ,PreservedSpecimen
-75.3509,-11.0962,MU,PE,PreservedSpecimen
-84.75,10.45,MU,CR,PreservedSpecimen
-53.0333333333,5.3166666667,MU,GF,PreservedSpecimen
-42.3,-18.0,JBRJ,BR,PreservedSpecimen
-49.23,-26.64,FURB,,PreservedSpecimen
-53.5428888889,3.7270583333,iNaturalist,GF,HumanObservation
-53.5476555556,3.7534138889,iNaturalist,GF,HumanObservation
-47.5248126313,-23.5803597491,iNaturalist,BR,HumanObservation
-53.5284527778,3.7360222222,iNaturalist,GF,HumanObservation
-75.9670685655,6.6733149254,iNaturalist,CO,HumanObservation
-68.653655,18.7086866667,iNaturalist,DO,HumanObservation
101.8377533333,3.412555,iNaturalist,MY,HumanObservation
-90.4070320341,-0.6504189237,iNaturalist,EC,HumanObservation
-43.28472,-22.99722,PI,BRA,PreservedSpecimen
-73.3,-4.25,SRP,PE,PreservedSpecimen
-61.0935361667,14.7153716667,iNaturalist,MQ,HumanObservation
-54.0759005195,3.3383816712,iNaturalist,SR,HumanObservation
-44.1930555,-23.1827778,UERJ,BR,PreservedSpecimen
-43.2425,-22.9683334,UERJ,BR,PreservedSpecimen
133.9061328861,-1.0985925965,iNaturalist,ID,HumanObservation
128.3105305,-3.585675,iNaturalist,ID,HumanObservation
-66.2486622925,18.0978576924,iNaturalist,PR,HumanObservation
101.7485408785,3.6935921535,iNaturalist,MY,HumanObservation
-46.7659170939,-22.6786208523,iNaturalist,BR,HumanObservation
128.3073470617,-3.5844795724,iNaturalist,ID,HumanObservation
103.1919759,-4.0686141,iNaturalist,ID,HumanObservation
107.6178292371,-6.8666919926,iNaturalist,ID,HumanObservation
-80.4478916667,25.5589883333,iNaturalist,US,HumanObservation
-75.9530792222,6.6888680556,iNaturalist,CO,HumanObservation
103.778269,1.4090898,iNaturalist,SG,HumanObservation
-66.0364655816,18.2298908444,iNaturalist,PR,HumanObservation
-89.4477,-0.89928,iNaturalist,EC,HumanObservation
120.0494190997,-1.3259148997,iNaturalist,ID,HumanObservation
-44.9872282046,-21.2297007537,iNaturalist,BR,HumanObservation
-66.5884401112,18.1698511343,iNaturalist,PR,HumanObservation
120.0494190997,-1.3259148997,iNaturalist,ID,HumanObservation
120.050556,-1.3253079,iNaturalist,ID,HumanObservation
120.0495089,-1.3259567,iNaturalist,ID,HumanObservation
-67.7270583889,-16.1987018333,iNaturalist,BO,HumanObservation
-91.0316199605,-0.8343738789,iNaturalist,EC,HumanObservation
-71.08574609,19.55292694,iNaturalist,DO,HumanObservation
-48.4722397374,-27.6413904385,iNaturalist,BR,HumanObservation
-69.61177,19.2916916667,iNaturalist,DO,HumanObservation
-73.505335,-11.384163,iNaturalist,PE,HumanObservation
-66.1292757,18.2354219,iNaturalist,PR,HumanObservation
-35.85389,-8.701389,CJBG,BR,PreservedSpecimen
-78.83333,-0.333333,CJBG,EC,PreservedSpecimen
-51.7277778,-17.8602778,UFJ,,PreservedSpecimen
-156.091389,20.818611,BISH,US,PreservedSpecimen
-156.091389,20.818611,BISH,US,PreservedSpecimen
-159.508333,21.891667,BISH,US,PreservedSpecimen
-75.585427,6.156843,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.585427,6.156843,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.585427,6.156843,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.587687,6.157764,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.587687,6.157764,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.587598,6.157626,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.587598,6.157626,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.585279,6.156626,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.585279,6.156626,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.587687,6.157764,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.585122,6.15635,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.588592,6.161363,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.588592,6.161363,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.588592,6.161363,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.588592,6.161363,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.585279,6.156626,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.587424,6.156521,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-75.585122,6.15635,Empresas Públicas de Medellín E.S.P. (EPM),CO,HumanObservation
-39.4394444,-16.5213889,UFES,,PreservedSpecimen
103.7810666667,1.3438533333,iNaturalist,SG,HumanObservation
-42.2025,-22.485,JBRJ,BR,PreservedSpecimen
-42.0344444,-22.4263889,JBRJ,BR,PreservedSpecimen
-42.0344444,-22.4263889,JBRJ,BR,PreservedSpecimen
